audit_name,scene,object,strategy,rep,final_image
audit_01.jpg,scene2,umbrella,open,4,captures/e2/scene2/umbrella_open_r4_final.jpg
audit_02.jpg,scene1,folder,open,6,captures/e2/scene1/folder_open_r6_final.jpg
audit_03.jpg,scene1,bottle,halving,2,captures/e2/scene1/bottle_halving_r2_iter12.jpg
audit_04.jpg,scene2,calculator,halving,4,captures/e2/scene2/calculator_halving_r4_iter5.jpg
audit_05.jpg,scene1,slipper,halving,4,captures/e2/scene1/slipper_halving_r4_iter2.jpg
audit_06.jpg,scene1,tissuebox,bisection,6,captures/e2/scene1/tissuebox_bisection_r6_final.jpg
audit_07.jpg,scene1,bowl,open,7,captures/e2/scene1/bowl_open_r7_final.jpg
audit_08.jpg,scene1,bowl,open,8,captures/e2/scene1/bowl_open_r8_final.jpg
audit_09.jpg,scene2,bear,halving,8,captures/e2/scene2/bear_halving_r8_iter2.jpg
audit_10.jpg,scene1,bottle,open,5,captures/e2/scene1/bottle_open_r5_final.jpg
audit_11.jpg,scene2,bowl,bisection,5,captures/e2/scene2/bowl_bisection_r5_final.jpg
audit_12.jpg,scene2,bowl,open,8,captures/e2/scene2/bowl_open_r8_final.jpg
audit_13.jpg,scene1,folder,open,4,captures/e2/scene1/folder_open_r4_final.jpg
audit_14.jpg,scene2,bear,halving,4,captures/e2/scene2/bear_halving_r4_iter1.jpg
audit_15.jpg,scene2,umbrella,bisection,2,captures/e2/scene2/umbrella_bisection_r2_final.jpg
audit_16.jpg,scene1,tissuebox,halving,1,captures/e2/scene1/tissuebox_halving_r1_iter3.jpg
audit_17.jpg,scene1,bear,halving,1,captures/e2/scene1/bear_halving_r1_iter1.jpg
audit_18.jpg,scene1,slipper,bisection,5,captures/e2/scene1/slipper_bisection_r5_final.jpg
audit_19.jpg,scene1,slipper,bisection,2,captures/e2/scene1/slipper_bisection_r2_final.jpg
audit_20.jpg,scene1,slipper,halving,2,captures/e2/scene1/slipper_halving_r2_iter2.jpg
